# Time-averaged data for fix gr
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
500 200
169 2.10625 0.883627 15.6482
170 2.11875 0.965795 15.8196
171 2.13125 1.05157 16.0073
172 2.14375 0.918169 16.1722
173 2.15625 0.759199 16.3094
174 2.16875 0.61554 16.4212
175 2.18125 0.598611 16.5306
176 2.19375 0.692919 16.658
177 2.20625 0.521162 16.7543
178 2.21875 0.527009 16.8522
179 2.23125 0.51969 16.9494
180 2.24375 0.529823 17.049
181 2.25625 0.505294 17.1445
182 2.26875 0.425201 17.2253
183 2.28125 0.435685 17.3086
184 2.29375 0.437559 17.3927
185 2.30625 0.405611 17.471
186 2.31875 0.437044 17.5559
187 2.33125 0.346924 17.6237
188 2.34375 0.340916 17.6906
189 2.35625 0.409411 17.7714
190 2.36875 0.386682 17.8482
191 2.38125 0.396928 17.9273
192 2.39375 0.398926 18.0073
193 2.40625 0.437349 18.0955
194 2.41875 0.503575 18.1976
195 2.43125 0.629239 18.3257
196 2.44375 0.590133 18.4465
197 2.45625 0.630768 18.5763
198 2.46875 0.730197 18.7273
199 2.48125 0.757935 18.8849
200 2.49375 0.789303 19.0498
1500 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0.0115487 0.000816327
69 0.85625 0.0569003 0.00489796
70 0.86875 0.190677 0.0187755
71 0.88125 0.464403 0.0530612
72 0.89375 1.09026 0.134694
73 0.90625 1.69885 0.263673
74 0.91875 2.61966 0.465306
75 0.93125 3.48436 0.737143
76 0.94375 3.85121 1.04163
77 0.95625 4.39189 1.39347
78 0.96875 4.6068 1.76735
79 0.98125 4.99498 2.17796
80 0.99375 4.70662 2.5698
81 1.00625 4.25113 2.92816
82 1.01875 4.13201 3.28082
83 1.03125 3.8835 3.61633
84 1.04375 3.32352 3.90694
85 1.05625 2.61997 4.13878
86 1.06875 2.32493 4.34694
87 1.08125 2.1088 4.53796
88 1.09375 1.67489 4.69143
89 1.10625 1.4886 4.82939
90 1.11875 1.39358 4.96
91 1.13125 1.137 5.06776
92 1.14375 0.886028 5.15265
93 1.15625 0.80903 5.23102
94 1.16875 0.825389 5.31184
95 1.18125 0.618678 5.37306
96 1.19375 0.571386 5.4302
97 1.20625 0.516997 5.48245
98 1.21875 0.431742 5.52653
99 1.23125 0.395703 5.56735
100 1.24375 0.368222 5.60571
101 1.25625 0.302506 5.63755
102 1.26875 0.337926 5.67347
103 1.28125 0.281393 5.70367
104 1.29375 0.21842 5.72735
105 1.30625 0.268548 5.75673
106 1.31875 0.229058 5.78204
107 1.33125 0.256185 5.81061
108 1.34375 0.268305 5.84082
109 1.35625 0.244278 5.86857
110 1.36875 0.213571 5.89306
111 1.38125 0.232802 5.92
112 1.39375 0.146818 5.93714
113 1.40625 0.166301 5.95673
114 1.41875 0.18544 5.97878
115 1.43125 0.224669 6.00571
116 1.44375 0.229473 6.03347
117 1.45625 0.214121 6.05959
118 1.46875 0.218933 6.08653
119 1.48125 0.243399 6.11673
120 1.49375 0.215269 6.14367
121 1.50625 0.278174 6.17878
